,Prediction,Y,Name,Best Candidate,Error,Line,Start,End
0,"(42, -74)","(29.97548, -90.07785)",third presbyterian church,"(42.69806, -73.65944)",2034.1706634328154,0,3691,3716
1,"(52, 2)","(53.0, -8.0)",irish,"(49.65021, -83.98316)",5041.907593642537,0,844,849
2,"(54, 6)","(51.5, 10.5)",german,"(51.5, 10.5)",0.0,0,836,842
3,"(30, -92)","(29.96576, -90.05424)",faubourg marigny,"(29.96576, -90.05424)",0.0,0,663,679
4,"(32, -92)","(31.00047, -92.0004)",louisiana,"(31.00047, -92.0004)",0.0,0,184,193
5,"(44, -92)","(46.0, 2.0)",french,"(46.28802, -96.20173)",7025.238048435649,0,298,304
6,"(-20, 56)","(29.96576, -90.05424)",faubourg marigny,"(29.96576, -90.05424)",0.0,0,2039,2055
7,"(46, -66)","(46.0, 2.0)",french,"(49.30494, 1.21706)",372.2413951602369,0,2783,2789
8,"(42, -74)","(29.96493, -90.05729)",washington square,"(40.70732, -73.67596)",1901.4688334035925,0,3204,3221
9,"(42, -74)","(39.0, 22.0)",greek,"(1.58333, 34.58333)",4353.676521235129,0,2212,2217
10,"(30, -92)","(29.95936, -90.06618)",french quarter,"(29.96048, -90.06479)",0.18292053020193896,0,403,417
11,"(42, -74)","(29.96409, -90.05757)",holy redeemer church,"(39.01511, -77.08387)",1555.31887612995,0,3576,3596
12,"(42, -74)","(29.96493, -90.05729)",washington square,"(40.70732, -73.67596)",1901.4688334035925,0,3500,3517
13,"(42, 32)","(36.54891, 36.79295)",afrin,"(36.51194, 36.86954)",7.985352174160465,1,612,617
14,"(42, 32)","(54.75844, -2.69531)",britain,"(54.75844, -2.69531)",0.0,1,623,630
15,"(42, 32)","(36.54891, 36.79295)",afrin,"(36.51194, 36.86954)",7.985352174160465,1,808,813
16,"(42, 32)","(36.54891, 36.79295)",afrin,"(36.51194, 36.86954)",7.985352174160465,1,407,412
17,"(42, 32)","(36.85071, 41.17243)",qamishli,"(36.4289, 66.57429)",2260.8545102443013,1,216,224
18,"(40, 34)","(39.0, 35.0)",turkey,"(39.0, 35.0)",0.0,1,200,206
19,"(40, 34)","(39.0, 35.0)",turkey,"(39.0, 35.0)",0.0,1,334,340
20,"(40, 34)","(39.0, 35.0)",turkey,"(39.0, 35.0)",0.0,1,47,53
21,"(36, 36)","(35.0, 38.0)",syria,"(35.0, 38.0)",0.0,1,89,94
22,"(42, 32)","(33.89332, 35.50157)",beirut,"(33.88333, 35.5)",1.1205662125783218,1,0,6
23,"(40, -78)","(38.84039, -77.42888)",centreville,"(40.54425, -77.31027)",189.78559701582506,2,2887,2898
24,"(40, -78)","(38.94877, -77.4491)",dulles international airport,"(38.94877, -77.4491)",0.0,2,2915,2943
25,"(40, -78)","(38.79567, -77.61388)",gainesville,"(29.65163, -82.32483)",1105.046430539448,2,2987,2998
26,"(34, -80)","(38.34982, -81.63262)",charleston,"(32.74917, -79.94202)",641.413995865754,2,236,246
27,"(40, -78)","(38.77145, -77.64191)",lake manassas,"(38.77145, -77.64191)",0.0,2,1890,1903
28,"(42, -96)","(39.76, -98.5)",america,"(39.76, -98.5)",0.0,3,3394,3401
29,"(42, -76)","(39.76, -98.5)",america,"(39.76, -98.5)",0.0,3,4563,4570
30,"(34, -118)","(37.25022, -119.75126)",university of california,"(37.87215, -122.25975)",231.7282382275688,3,1795,1819
31,"(32, -84)","(34.07062, -118.44455)",ucla,"(34.07062, -118.44455)",0.0,3,1953,1957
32,"(42, -96)","(26.31008, -80.23727)",parkland,"(47.15538, -122.43401)",4343.64859855157,3,3312,3320
33,"(40, -106)","(26.31008, -80.23727)",parkland,"(47.15538, -122.43401)",4343.64859855157,3,4093,4101
34,"(38, -122)","(33.14337, -117.16614)",san marcos,"(15.0, -91.91667)",3246.6680127323725,3,1604,1614
35,"(46, -94)","(26.31008, -80.23727)",parkland,"(46.64772, -91.99769)",2488.1677209001814,3,3076,3084
36,"(38, -122)","(37.25022, -119.75126)",california,"(37.25022, -119.75126)",0.0,3,1396,1406
37,"(30, -82)","(28.75054, -82.5001)",florida,"(28.75054, -82.5001)",0.0,3,886,893
38,"(30, -82)","(26.31008, -80.23727)",parkland,"(26.31008, -80.23727)",0.0,3,876,884
39,"(28, -82)","(35.30059, -120.66004)",california polytechnic state university,"(35.30059, -120.66004)",0.0,3,1529,1568
40,"(30, -82)","(38.89511, -77.03637)",washington,"(32.96954, -82.7959)",838.3009328166668,3,589,599
41,"(40, -88)","(38.89511, -77.03637)",washington,"(40.70365, -89.40731)",1075.1537644528419,3,26,36
42,"(48, -122)","(38.89511, -77.03637)",washington,"(47.50012, -120.50147)",3600.931255621103,3,3197,3207
43,"(2, 38)","(7.1881, 21.09375)",africa,"(7.1881, 21.09375)",0.0,4,3977,3983
44,"(2, 38)","(7.1881, 21.09375)",africa,"(7.1881, 21.09375)",0.0,4,4242,4248
45,"(2, 38)","(7.1881, 21.09375)",africa,"(7.1881, 21.09375)",0.0,4,4573,4579
46,"(4, 10)","(7.1881, 21.09375)",africa,"(7.1881, 21.09375)",0.0,4,2248,2254
47,"(10, 6)","(7.1881, 21.09375)",africa,"(7.1881, 21.09375)",0.0,4,2408,2414
48,"(2, 38)","(7.1881, 21.09375)",africa,"(7.1881, 21.09375)",0.0,4,3231,3237
49,"(2, 38)","(7.1881, 21.09375)",africa,"(7.1881, 21.09375)",0.0,4,3464,3470
50,"(8, 6)","(7.1881, 21.09375)",africa,"(7.1881, 21.09375)",0.0,4,1849,1855
51,"(8, 6)","(7.1881, 21.09375)",africa,"(7.1881, 21.09375)",0.0,4,1645,1651
