,Prediction,Y,Name,Best Candidate,Error,Line,Start,End
0,"(42, 36)","(60.0, 100.0)",russian,"(10.49773, -63.16987)",12037.709480731557,0,2105,2112
1,"(40, 44)","(60.0, 100.0)",russian,"(10.49773, -63.16987)",12037.709480731557,0,2440,2447
2,"(42, 32)","(60.0, 100.0)",russian,"(10.49773, -63.16987)",12037.709480731557,0,2742,2749
3,"(38, 28)","(60.0, 100.0)",russian,"(10.49773, -63.16987)",12037.709480731557,0,3048,3055
4,"(38, 28)","(60.0, 100.0)",russian,"(10.49773, -63.16987)",12037.709480731557,0,3216,3223
5,"(38, 28)","(60.0, 100.0)",russian,"(10.49773, -63.16987)",12037.709480731557,0,3248,3255
6,"(40, 44)","(60.0, 100.0)",russian,"(10.49773, -63.16987)",12037.709480731557,0,4409,4416
7,"(40, 44)","(60.0, 100.0)",russian,"(10.49773, -63.16987)",12037.709480731557,0,4429,4436
8,"(40, 44)","(60.0, 100.0)",russian,"(10.49773, -63.16987)",12037.709480731557,0,5442,5449
9,"(42, 32)","(60.0, 100.0)",russia,"(60.0, 100.0)",0.0,0,5663,5669
10,"(40, 32)","(60.0, 100.0)",russia,"(60.0, 100.0)",0.0,0,4829,4835
11,"(40, 44)","(60.0, 100.0)",russia,"(40.53254, 44.71924)",4316.431873474556,0,5384,5390
12,"(42, 32)","(60.0, 100.0)",russia,"(60.0, 100.0)",0.0,0,2594,2600
13,"(42, 32)","(60.0, 100.0)",russia,"(60.0, 100.0)",0.0,0,2529,2535
14,"(42, 32)","(60.0, 100.0)",russia,"(60.0, 100.0)",0.0,0,2393,2399
15,"(42, 32)","(60.0, 100.0)",russia,"(60.0, 100.0)",0.0,0,33,39
16,"(42, 32)","(60.0, 100.0)",russia,"(60.0, 100.0)",0.0,0,190,196
17,"(42, 28)","(60.0, 100.0)",russia,"(60.0, 100.0)",0.0,0,302,308
18,"(42, 32)","(60.0, 100.0)",russia,"(60.0, 100.0)",0.0,0,1049,1055
19,"(42, 32)","(60.0, 100.0)",russia,"(60.0, 100.0)",0.0,0,1120,1126
20,"(40, 34)","(39.0, 35.0)",turkey,"(39.0, 35.0)",0.0,0,56,62
21,"(40, 34)","(39.0, 35.0)",turkey,"(39.0, 35.0)",0.0,0,291,297
22,"(42, 48)","(39.0, 35.0)",turkey,"(39.0, 35.0)",0.0,0,1508,1514
23,"(42, 48)","(39.0, 35.0)",turkey,"(39.0, 35.0)",0.0,0,1745,1751
24,"(42, 48)","(39.0, 35.0)",turkey,"(39.0, 35.0)",0.0,0,1799,1805
25,"(40, 34)","(39.0, 35.0)",turkey,"(39.0, 35.0)",0.0,0,2359,2365
26,"(40, 34)","(39.0, 35.0)",turkey,"(39.0, 35.0)",0.0,0,2536,2542
27,"(40, 34)","(39.0, 35.0)",turkey,"(39.0, 35.0)",0.0,0,2602,2608
28,"(40, 34)","(39.0, 35.0)",turkey,"(39.0, 35.0)",0.0,0,3013,3019
29,"(40, 34)","(39.0, 35.0)",turkey,"(39.0, 35.0)",0.0,0,3830,3836
30,"(58, 42)","(39.0, 35.0)",turkey,"(39.0, 35.0)",0.0,0,4580,4586
31,"(40, 34)","(39.0, 35.0)",turkey,"(39.0, 35.0)",0.0,0,4990,4996
32,"(50, 36)","(39.0, 35.0)",turkey,"(39.0, 35.0)",0.0,0,5395,5401
33,"(40, 34)","(39.0, 35.0)",turkey,"(39.0, 35.0)",0.0,0,5502,5508
34,"(40, 34)","(39.0, 35.0)",turkey,"(39.0, 35.0)",0.0,0,5674,5680
35,"(40, 34)","(39.0, 35.0)",turkey,"(39.0, 35.0)",0.0,0,5876,5882
36,"(40, 34)","(39.0, 35.0)",turkey,"(39.0, 35.0)",0.0,0,5957,5963
37,"(42, 28)","(35.0, 38.0)",syria,"(35.0, 38.0)",0.0,0,2582,2587
38,"(42, 32)","(35.0, 38.0)",syria,"(35.0, 38.0)",0.0,0,2268,2273
39,"(36, 36)","(35.0, 38.0)",syria,"(35.0, 38.0)",0.0,0,1180,1185
40,"(36, 36)","(35.0, 38.0)",syria,"(35.0, 38.0)",0.0,0,1665,1670
41,"(36, 36)","(35.0, 38.0)",syria,"(35.0, 38.0)",0.0,0,216,221
42,"(36, 36)","(35.0, 38.0)",syria,"(35.0, 38.0)",0.0,0,268,273
43,"(38, 36)","(36.20124, 37.16117)",aleppo,"(36.25, 37.61667)",41.228324435050496,0,247,253
44,"(38, 36)","(36.20124, 37.16117)",aleppo,"(36.25, 37.61667)",41.228324435050496,0,1172,1178
45,"(38, 36)","(36.20124, 37.16117)",aleppo,"(36.25, 37.61667)",41.228324435050496,0,1227,1233
46,"(42, 40)","(36.20124, 37.16117)",aleppo,"(36.25, 37.61667)",41.228324435050496,0,5743,5749
47,"(40, 32)","(39.91987, 32.85427)",ankara,"(39.92063, 32.85403)",0.08697580271048586,0,328,334
48,"(40, 32)","(39.91987, 32.85427)",ankara,"(39.92063, 32.85403)",0.08697580271048586,0,846,852
49,"(42, 28)","(39.91987, 32.85427)",ankara,"(39.92063, 32.85403)",0.08697580271048586,0,2777,2783
50,"(42, 28)","(39.91987, 32.85427)",ankara,"(39.92063, 32.85403)",0.08697580271048586,0,3067,3073
51,"(42, 28)","(39.91987, 32.85427)",ankara,"(39.92063, 32.85403)",0.08697580271048586,0,3422,3428
52,"(40, 32)","(39.91987, 32.85427)",ankara,"(39.92063, 32.85403)",0.08697580271048586,0,4071,4077
53,"(40, 32)","(39.91987, 32.85427)",ankara,"(39.92063, 32.85403)",0.08697580271048586,0,4263,4269
54,"(42, 28)","(41.01384, 28.94966)",istanbul,"(41.01384, 28.94966)",0.0,0,1913,1921
55,"(40, 44)","(55.75222, 37.61556)",moscow,"(55.76167, 37.60667)",1.1892732106257402,0,2288,2294
56,"(38, 28)","(55.75222, 37.61556)",moscow,"(55.76167, 37.60667)",1.1892732106257402,0,2996,3002
57,"(42, 32)","(32.0, 53.0)",iran,"(32.0, 53.0)",0.0,0,2404,2408
58,"(42, 32)","(32.0, 53.0)",iran,"(32.0, 53.0)",0.0,0,2613,2617
59,"(38, 28)","(37.75, 28.0)",aydin,"(37.75, 28.0)",0.0,0,3932,3937
60,"(42, 40)","(39.03385, 125.75432)",pyongyang,"(39.03385, 125.75432)",0.0,0,4852,4861
61,"(44, 26)","(20.75028, -156.50028)",hawaii,"(44.2556, 28.62146)",12771.575008345812,0,5222,5228
62,"(44, 24)","(48.0, 68.0)",kazakhstan,"(48.0, 68.0)",0.0,0,5826,5836
63,"(42, 28)","(51.1801, 71.44598)",astana,"(51.13333, 71.43333)",5.276371187258452,0,5848,5854
64,"(38, -80)","(35.50069, -80.00032)",north carolina,"(35.50069, -80.00032)",0.0,1,31,45
65,"(38, -82)","(35.50069, -80.00032)",north carolina,"(35.50069, -80.00032)",0.0,1,1474,1488
66,"(38, -80)","(38.50038, -80.50009)",west virginia,"(38.50038, -80.50009)",0.0,1,155,168
67,"(38, -80)","(38.50038, -80.50009)",west virginia,"(38.50038, -80.50009)",0.0,1,1285,1298
68,"(38, -80)","(38.50038, -80.50009)",west virginia,"(38.50038, -80.50009)",0.0,1,1420,1433
69,"(40, -82)","(38.50038, -80.50009)",west virginia,"(38.50038, -80.50009)",0.0,1,1655,1668
70,"(30, -96)","(38.50038, -80.50009)",west virginia,"(38.50038, -80.50009)",0.0,1,2327,2340
71,"(30, -96)","(38.50038, -80.50009)",west virginia,"(38.50038, -80.50009)",0.0,1,2570,2583
72,"(30, -96)","(38.50038, -80.50009)",west virginia,"(38.50038, -80.50009)",0.0,1,2768,2781
73,"(38, -80)","(36.3107, -78.59083)",oxford,"(39.20564, -80.86483)",378.99902558670783,1,23,29
74,"(38, -80)","(36.3107, -78.59083)",oxford,"(39.20564, -80.86483)",378.99902558670783,1,639,645
75,"(38, -82)","(37.80179, -80.44563)",lewisburg,"(35.44924, -86.78889)",623.5774976446743,1,1409,1418
76,"(38, -82)","(37.74781, -81.14352)",beaver,"(40.68226, -80.34929)",333.482297679205,1,2319,2325
77,"(38, -82)","(29.42385, -95.2441)",alvin,"(37.63676, -82.69488)",1476.9011942208458,1,2673,2678
78,"(30, -96)","(31.25044, -99.25061)",texas,"(31.25044, -99.25061)",0.0,1,2680,2685
79,"(32, -98)","(29.76328, -95.36327)",houston,"(29.76328, -95.36327)",0.0,1,2689,2696
80,"(42, -78)","(41.26115, -89.22759)",granville county,"(36.30402, -78.65302)",1068.7144911560738,1,647,663
81,"(30, -96)","(41.26115, -89.22759)",granville county,"(36.30402, -78.65302)",1068.7144911560738,1,2881,2897
82,"(42, -84)","(40.25034, -83.00018)",ohio,"(40.25034, -83.00018)",0.0,2,0,4
83,"(46, -124)","(47.50012, -120.50147)",washington,"(47.50012, -120.50147)",0.0,2,2228,2238
84,"(42, -74)","(40.74982, -73.79763)",queens,"(40.68149, -73.83652)",8.277114621131526,3,80,86
85,"(42, -74)","(40.74982, -73.79763)",queens,"(40.68149, -73.83652)",8.277114621131526,3,1196,1202
86,"(42, -74)","(43.00035, -75.4999)",new york,"(43.00035, -75.4999)",0.0,3,7,15
87,"(42, -74)","(43.00035, -75.4999)",new york,"(43.00035, -75.4999)",0.0,3,588,596
88,"(42, -74)","(40.71427, -74.00597)",new york city,"(40.71427, -74.00597)",0.0,3,1229,1242
89,"(42, -92)","(39.76, -98.5)",united states,"(39.76, -98.5)",0.0,4,53,66
90,"(42, -92)","(39.76, -98.5)",united states,"(39.76, -98.5)",0.0,4,318,331
91,"(42, -92)","(39.76, -98.5)",united states,"(39.76, -98.5)",0.0,4,410,423
92,"(42, -72)","(42.36565, -71.10832)",massachusetts,"(42.36565, -71.10832)",0.0,4,768,781
93,"(42, -72)","(41.95844, -70.66726)",plymouth,"(41.98743, -70.73707)",6.612242833196869,4,737,745
94,"(44, -72)","(38.89704, -77.03655)",white house,"(40.61844, -74.74433)",273.97638687559396,4,500,511
95,"(46, -94)","(42.00027, -93.50049)",iowa,"(42.00027, -93.50049)",0.0,5,1012,1016
96,"(48, -124)","(38.89511, -77.03637)",washington,"(47.50012, -120.50147)",3600.931255621103,5,0,10
97,"(42, -96)","(39.76, -98.5)",u.s.,"(39.76, -98.5)",0.0,5,52,56
98,"(44, -74)","(30.62798, -96.33441)",college station,"(30.62798, -96.33441)",0.0,6,430,445
99,"(30, 60)","(39.76, -98.5)",u.s.,"(39.76, -98.5)",0.0,6,1514,1518
100,"(40, -118)","(30.26715, -97.74306)",austin,"(39.49326, -117.06953)",2033.835583254957,6,0,6
101,"(32, -100)","(31.25044, -99.25061)",texas,"(31.25044, -99.25061)",0.0,6,8,13
102,"(32, -100)","(31.25044, -99.25061)",texas,"(31.25044, -99.25061)",0.0,6,179,184
103,"(32, -100)","(31.25044, -99.25061)",texas,"(31.25044, -99.25061)",0.0,6,447,452
104,"(32, -100)","(31.25044, -99.25061)",texas,"(31.25044, -99.25061)",0.0,6,640,645
105,"(32, -100)","(31.25044, -99.25061)",texas,"(31.25044, -99.25061)",0.0,6,756,761
106,"(60, 30)","(60.0, 100.0)",washington,"(47.50012, -120.50147)",7514.920210372951,6,143,153
107,"(36, -102)","(60.0, 100.0)",russia,"(60.0, 100.0)",0.0,6,632,638
108,"(40, -86)","(43.00035, -75.4999)",new york,"(43.00035, -75.4999)",0.0,7,1885,1893
109,"(-14, 28)","(39.162, -84.45689)",cincinnati,"(-18.15, 29.56667)",13322.708067171756,7,278,288
110,"(40, -86)","(39.162, -84.45689)",cincinnati,"(39.12711, -84.51439)",6.297780721781431,7,524,534
111,"(42, -84)","(39.162, -84.45689)",cincinnati,"(39.12711, -84.51439)",6.297780721781431,7,1628,1638
112,"(40, -86)","(40.25034, -83.00018)",ohio,"(40.25034, -83.00018)",0.0,7,12,16
113,"(40, -86)","(40.25034, -83.00018)",ohio,"(40.25034, -83.00018)",0.0,7,1828,1832
114,"(40, -86)","(39.76, -98.5)",u.s.,"(39.76, -98.5)",0.0,7,65,69
115,"(40, -86)","(39.76, -98.5)",u.s.,"(39.76, -98.5)",0.0,7,214,218
116,"(40, -86)","(39.76, -98.5)",u.s.,"(39.76, -98.5)",0.0,7,485,489
117,"(40, -86)","(39.76, -98.5)",u.s.,"(39.76, -98.5)",0.0,7,797,801
118,"(40, -86)","(39.76, -98.5)",u.s.,"(39.76, -98.5)",0.0,7,1211,1215
119,"(40, -86)","(39.76, -98.5)",u.s.,"(39.76, -98.5)",0.0,7,1383,1387
120,"(40, -86)","(39.76, -98.5)",u.s.,"(39.76, -98.5)",0.0,7,1766,1770
121,"(40, -86)","(39.76, -98.5)",u.s.,"(39.76, -98.5)",0.0,7,1786,1790
122,"(40, -86)","(39.76, -98.5)",united states,"(39.76, -98.5)",0.0,7,1145,1158
123,"(34, 44)","(35.0, 38.0)",syria,"(35.0, 38.0)",0.0,7,1298,1303
124,"(40, -86)","(39.33172, -84.40716)",west chester,"(39.96097, -75.60804)",756.5221816576675,7,299,311
125,"(40, -86)","(39.14978, -84.478)",xavier university,"(39.14978, -84.478)",0.0,7,844,861
126,"(40, -86)","(54.75844, -2.69531)",british,"(18.10786, -77.20674)",7385.7313708366955,7,1192,1199
127,"(40, -86)","(48.69096, 9.14062)",european,"(54.19522, 37.60976)",2050.3351994536247,7,1220,1228
128,"(44, -84)","(42.33143, -83.04575)",detroit,"(42.33143, -83.04575)",0.0,8,0,7
129,"(40, -112)","(39.76, -98.5)",u.s.,"(39.76, -98.5)",0.0,8,12,16
130,"(40, -112)","(39.76, -98.5)",u.s.,"(39.76, -98.5)",0.0,8,626,630
131,"(52, -2)","(39.76, -98.5)",united states,"(39.76, -98.5)",0.0,8,1580,1593
132,"(32, -100)","(31.25044, -99.25061)",texas,"(31.25044, -99.25061)",0.0,9,2,7
133,"(32, -100)","(31.25044, -99.25061)",texas,"(31.25044, -99.25061)",0.0,9,660,665
134,"(32, -100)","(31.25044, -99.25061)",texas,"(31.25044, -99.25061)",0.0,9,1225,1230
135,"(44, -86)","(44.25029, -85.50033)",michigan,"(44.25029, -85.50033)",0.0,10,862,870
136,"(44, -86)","(44.25029, -85.50033)",michigan,"(44.25029, -85.50033)",0.0,10,1119,1127
137,"(46, -88)","(43.00035, -75.4999)",new york,"(43.00035, -75.4999)",0.0,10,695,703
138,"(46, -88)","(39.76, -98.5)",us,"(62.49536, 11.22807)",7053.970804604278,10,116,118
139,"(44, -86)","(40.27245, -76.90567)",pennsylvania,"(40.8, -77.7)",89.1710187470962,10,1093,1105
140,"(42, -78)","(44.50024, -90.00041)",wisconsin,"(44.50024, -90.00041)",0.0,10,187,196
141,"(42, -78)","(44.50024, -90.00041)",wisconsin,"(44.50024, -90.00041)",0.0,10,416,425
142,"(42, -78)","(44.50024, -90.00041)",wisconsin,"(44.50024, -90.00041)",0.0,10,578,587
143,"(44, -86)","(44.50024, -90.00041)",wisconsin,"(44.50024, -90.00041)",0.0,10,1067,1076
144,"(42, -76)","(38.89511, -77.03637)",washington,"(42.73008, -73.70123)",510.55318455859816,11,1218,1228
145,"(34, -82)","(34.00043, -81.00009)",south carolina,"(34.00043, -81.00009)",0.0,11,1494,1508
146,"(34, -82)","(34.00043, -81.00009)",south carolina,"(34.00043, -81.00009)",0.0,11,2199,2213
147,"(44, -116)","(39.76, -98.5)",us,"(62.49536, 11.22807)",7053.970804604278,11,0,2
148,"(34, -82)","(39.76, -98.5)",us,"(62.49536, 11.22807)",7053.970804604278,11,1547,1549
149,"(32, -84)","(28.75054, -82.5001)",florida,"(28.75054, -82.5001)",0.0,11,2335,2342
150,"(32, -100)","(31.25044, -99.25061)",texas,"(31.25044, -99.25061)",0.0,11,2372,2377
151,"(34, -114)","(40.71427, -74.00597)",manhattan,"(40.71427, -74.00597)",0.0,11,1796,1805
152,"(24, -84)","(22.0, -79.5)",cuba,"(22.0, -79.5)",0.0,12,0,4
153,"(24, -84)","(22.0, -79.5)",cuba,"(22.0, -79.5)",0.0,12,469,473
154,"(24, -84)","(22.0, -79.5)",cuba,"(22.0, -79.5)",0.0,12,692,696
155,"(24, -82)","(22.0, -79.5)",cuban,"(6.01194, 43.54889)",13082.59630404663,12,867,872
156,"(24, -84)","(22.0, -79.5)",cuba,"(22.0, -79.5)",0.0,12,978,982
157,"(24, -82)","(22.0, -79.5)",cuban,"(6.01194, 43.54889)",13082.59630404663,12,1681,1686
158,"(24, -84)","(39.76, -98.5)",us,"(62.49536, 11.22807)",7053.970804604278,12,365,367
159,"(24, -84)","(39.76, -98.5)",us,"(62.49536, 11.22807)",7053.970804604278,12,961,963
160,"(24, -84)","(39.76, -98.5)",us,"(62.49536, 11.22807)",7053.970804604278,12,59,61
161,"(42, -76)","(39.76, -98.5)",america,"(39.76, -98.5)",0.0,12,1618,1625
162,"(56, 36)","(60.0, 100.0)",russia,"(60.0, 100.0)",0.0,13,766,772
163,"(40, -90)","(44.50024, -90.00041)",wisconsin,"(44.50024, -90.00041)",0.0,13,87,96
164,"(52, 22)","(44.50024, -90.00041)",wisconsin,"(44.50024, -90.00041)",0.0,13,525,534
165,"(52, -116)","(44.50024, -90.00041)",wisconsin,"(44.50024, -90.00041)",0.0,13,1391,1400
166,"(44, -86)","(44.25029, -85.50033)",michigan,"(44.25029, -85.50033)",0.0,13,361,369
167,"(44, -86)","(44.25029, -85.50033)",michigan,"(44.25029, -85.50033)",0.0,13,1402,1410
168,"(32, -100)","(40.27245, -76.90567)",pennsylvania,"(40.8, -77.7)",89.1710187470962,13,386,398
169,"(38, -102)","(40.27245, -76.90567)",pennsylvania,"(40.8, -77.7)",89.1710187470962,13,1427,1439
170,"(52, -116)","(39.76, -98.5)",us,"(62.49536, 11.22807)",7053.970804604278,13,703,705
171,"(52, -116)","(39.76, -98.5)",us,"(62.49536, 11.22807)",7053.970804604278,13,757,759
172,"(52, -116)","(39.76, -98.5)",us,"(62.49536, 11.22807)",7053.970804604278,13,805,807
173,"(36, -120)","(40.58654, -122.39168)",redding,"(40.58654, -122.39168)",0.0,14,586,593
174,"(38, -120)","(37.25022, -119.75126)",california,"(37.25022, -119.75126)",0.0,14,10,20
175,"(38, -120)","(37.25022, -119.75126)",california,"(37.25022, -119.75126)",0.0,14,604,614
176,"(22, -100)","(41.72454, -73.23623)",bantam,"(-6.5, 106.25)",16102.502889791434,15,32,38
177,"(22, -100)","(41.72454, -73.23623)",bantam,"(-6.5, 106.25)",16102.502889791434,15,84,90
178,"(20, -100)","(41.39482, -73.45401)",danbury,"(41.39482, -73.45401)",0.0,15,43,50
179,"(22, -100)","(41.39482, -73.45401)",danbury,"(41.39482, -73.45401)",0.0,15,421,428
180,"(34, -106)","(41.57704, -73.40845)",new milford,"(40.9351, -74.01903)",87.77536162218178,15,334,345
181,"(34, -106)","(41.57704, -73.40845)",new milford,"(40.9351, -74.01903)",87.77536162218178,15,467,478
182,"(34, -106)","(23.0, -102.0)",mexico,"(23.0, -102.0)",0.0,15,397,403
183,"(22, -104)","(41.74732, -73.18872)",litchfield,"(41.79249, -73.24532)",6.876562073860405,15,734,744
184,"(42, -74)","(41.80065, -73.12122)",torrington,"(41.81843, -73.14372)",2.7185325891072933,16,47,57
185,"(42, -74)","(41.80065, -73.12122)",torrington,"(41.81843, -73.14372)",2.7185325891072933,16,353,363
186,"(52, -116)","(52.28333, -117.469)",alberta,"(52.28333, -117.469)",0.0,17,68,75
187,"(52, -116)","(52.28333, -117.469)",alberta,"(52.28333, -117.469)",0.0,17,1189,1196
188,"(52, -116)","(51.05011, -114.08529)",calgary,"(51.05011, -114.08529)",0.0,17,294,301
189,"(52, -116)","(51.05011, -114.08529)",calgary,"(51.05011, -114.08529)",0.0,17,712,719
190,"(54, -114)","(52.26682, -113.802)",red deer,"(52.26682, -113.802)",0.0,17,3308,3316
191,"(56, 36)","(60.0, 100.0)",russia,"(60.0, 100.0)",0.0,18,48,54
192,"(56, 78)","(60.0, 100.0)",russian,"(38.45047, -123.12945)",8381.956384044106,18,170,177
193,"(60, 100)","(60.0, 100.0)",russia,"(60.0, 100.0)",0.0,18,246,252
194,"(60, 100)","(60.0, 100.0)",russia,"(60.0, 100.0)",0.0,18,400,406
195,"(60, 100)","(60.0, 100.0)",russia,"(60.0, 100.0)",0.0,18,1012,1018
196,"(56, 36)","(60.0, 100.0)",russian,"(38.45047, -123.12945)",8381.956384044106,18,1264,1271
197,"(56, 36)","(60.0, 100.0)",russian,"(38.45047, -123.12945)",8381.956384044106,18,1366,1373
198,"(56, 36)","(60.0, 100.0)",russia,"(60.0, 100.0)",0.0,18,1570,1576
199,"(56, 36)","(60.0, 100.0)",russia,"(60.0, 100.0)",0.0,18,1733,1739
200,"(56, 36)","(60.0, 100.0)",russia,"(60.0, 100.0)",0.0,18,1807,1813
