Entity Name,Adjectival,Demonym,Geonames Id,Geonames Name
Abkhazia,"Abkhaz, Abkhazian",Abkhazians,6643410,Abkhazia
Afghanistan,Afghan,Afghans,1149361,Islamic Republic of Afghanistan
Åland Islands,Åland Island,Åland Islanders,661882,Ahvenanmaan Lääni
Albania,Albanian,Albanians,783754,Republic of Albania
Algeria,Algerian,Algerians,2589581,People’s Democratic Republic of Algeria
American Samoa,American Samoan,American Samoans,5880801,American Samoa
Andorra,Andorran,Andorrans,3041565,Principality of Andorra
Angola,Angolan,Angolans,3351879,Republic of Angola
Anguilla,Anguillan,Anguillans,3573512,Anguilla
Antarctica,Antarctic,Antarctic residents,6255152,Antarctica
Antigua and Barbuda,"Antiguan, Barbudan","Antiguans, Barbudans",3576396,Antigua and Barbuda
Argentina,"Argentine, Argentinian","Argentines, Argentinians",8870712,Argentina
Armenia,Armenian,Armenians,174982,Republic of Armenia
Aruba,Aruban,Arubans,3577279,Aruba
Australia,Australian,Australians,2077456,Commonwealth of Australia
Austria,Austrian,Austrians,2782113,Republic of Austria
Azerbaijan,"Azerbaijani, Azeri","Azerbaijanis, Azeris",587116,Republic of Azerbaijan
The Bahamas,Bahamian,Bahamians,3572887,Commonwealth of The Bahamas
Bahrain,Bahraini,Bahrainis,290291,Kingdom of Bahrain
Bangladesh,Bangladeshi,Bangladeshis,1210997,Bangladesh
Barbados,Barbadian,Barbadians,3374084,Barbados
Belarus,Belarusian,Belarusians,630336,Republic of Belarus
Belgium,Belgian,Belgians,2802361,Kingdom of Belgium
Belize,Belizean,Belizeans,3582678,Belize
Benin,"Beninese, Beninois","Beninese, Beninois",2395170,Republic of Benin
Bermuda,"Bermudian, Bermudan","Bermudians, Bermudans",3573345,Bermuda
Bhutan,Bhutanese,Bhutanese,1252634,Kingdom of Bhutan
Bolivia,Bolivian,Bolivians,3923057,Plurinational State of Bolivia
Bonaire,"Bonaire, Bonairean",Bonaire Dutch,7626844,"Bonaire, Saint Eustatius and Saba"
Bosnia and Herzegovina,"Bosnian, Herzegovinian","Bosnians, Herzegovinians",3277605,Bosnia and Herzegovina
Botswana,Botswanan,"Batswana, Motswana",933860,Republic of Botswana
Bouvet Island,Bouvet Island,Bouvet Islanders,3371123,Bouvet Island
Brazil,Brazilian,Brazilians,3469034,Federative Republic of Brazil
British Indian Ocean Territory,BIOT,British,1282588,British Indian Ocean Territory
Brunei,Bruneian,Bruneians,1820814,Brunei Darussalam
Bulgaria,Bulgarian,Bulgarians,732800,Republic of Bulgaria
Burkina Faso,Burkinabé,"Burkinabè, Burkinabé",2361809,Burkina Faso
Burma,Burmese,"Burmese, Burman",1327865,Union of Burma
Burundi,Burundian,"Burundians, Barundi",433561,Republic of Burundi
Cabo Verde,Cabo Verdean,Cabo Verdeans,3374766,Republic of Cabo Verde
Cambodia,Cambodian,Cambodians,1831722,Kingdom of Cambodia
Cameroon,Cameroonian,Cameroonians,2233387,Republic of Cameroon
Canada,Canadian,Canadians,6251999,Canada
Cayman Islands,Caymanian,Caymanians,3580718,Cayman Islands
Central African Republic,Central African,Central Africans,239880,Central African Republic
Chad,Chadian,Chadians,2434508,Republic of Chad
Chile,Chilean,Chileans,3895114,Republic of Chile
China,Chinese,Chinese,3530839,China
Christmas Island,Christmas Island,Christmas Islanders,7521593,Kiritimati
Cocos (Keeling) Islands,Cocos Island,Cocos Islanders,1547376,Territory of Cocos (Keeling) Islands
Colombia,Colombian,Colombians,3686110,Republic of Colombia
Comoros,"Comoran, Comorian","Comorans, Comorians",921929,Union of the Comoros
Democratic Republic of the Congo,Congolese,Congolese,203312,Democratic Republic of the Congo
Republic of the Congo,Congolese,Congolese,2260494,Republic of the Congo
Cook Islands,Cook Island,Cook Islanders,1899402,Cook Islands
Costa Rica,Costa Rican,Costa Ricans,6323743,Costa Rica
Croatia,Croatian,"Croatians, Croats",3202326,Republic of Croatia
Cuba,Cuban,Cubans,3562993,Cuba
Curaçao,Curaçaoan,Curaçaoans,7626836,Country of Curaçao
Cyprus,Cypriot,Cypriots,146669,Republic of Cyprus
Czech Republic,Czech,Czechs,3077311,Czechia
Denmark,Danish,Danes,2623032,Kingdom of Denmark
Djibouti,Djiboutian,Djiboutians,223816,Republic of Djibouti
Dominica,Dominican,Dominicans,3575830,Dominica
Dominican Republic,Dominican,Dominicans,3508796,Dominican Republic
East Timor,Timorese,Timorese,1966436,Democratic Republic of Timor-Leste
Ecuador,Ecuadorian,Ecuadorians,3658394,Republic of Ecuador
Egypt,Egyptian,Egyptians,357994,Arab Republic of Egypt
El Salvador,Salvadoran,"Salvadorans, Salvadorians, Salvadoreans",1713911,El Salvador
England,English,"English, Englishmen, Englishwomen",6269131,England
Equatorial Guinea,"Equatorial Guinean, Equatoguinean","Equatorial Guineans, Equatoguineans",2309096,Republic of Equatorial Guinea
Eritrea,Eritrean,Eritreans,8053917,Irtīriyā
Estonia,Estonian,Estonians,453733,Republic of Estonia
Eswatini,"Swazi, Swati",Swazis,934841,Eswatini
Ethiopia,Ethiopian,"Ethiopians, Habesha",337996,Federal Democratic Republic of Ethiopia
European Union,European,Europeans,6695072,European Union
Falkland Islands,Falkland Island,Falkland Islanders,3474414,Falkland Islands
Faroe Islands,Faroese,Faroese,2622009,Faroe Islands
Fiji,Fijian,Fijians,2205218,Republic of Fiji
Finland,Finnish,Finns,660013,Republic of Finland
France,French,"French, Frenchmen, Frenchwomen",3017382,Republic of France
French Guiana,French Guianese,French Guianese,3381670,Guyane
French Polynesia,French Polynesian,French Polynesians,4030656,French Polynesia
French Southern Territories,French Southern Territories,French,1546748,French Southern and Antarctic Lands
Gabon,Gabonese,"Gabonese, Gabonaise",2400553,Gabonese Republic
The Gambia,Gambian,Gambians,2413451,Gambia
Georgia,Georgian,Georgians,4197000,Georgia
Germany,German,Germans,2921044,Federal Republic of Germany
Ghana,Ghanaian,Ghanaians,2300660,Republic of Ghana
Gibraltar,Gibraltar,Gibraltarians,2411586,Gibraltar
Greece,"Greek, Hellenic","Greeks, Hellenes",390903,Hellenic Republic
Greenland,Greenland,Greenlanders,3425505,Greenland
Grenada,Grenadian,Grenadians,6357709,Granada
Guadeloupe,Guadeloupe,"Guadeloupians, Guadeloupeans",3579143,Guadeloupe
Guam,Guamanian,Guamanians,4043988,Guam
Guatemala,Guatemalan,Guatemalans,3595528,Republic of Guatemala
Guernsey,Guernsey,"Guernseyman, Guernseywoman",3042362,Bailiwick of Guernsey
Guinea,Guinean,Guineans,2420477,Republic of Guinea
Guinea-Bissau,Bissau-Guinean,Bissau-Guineans,2372248,Republic of Guinea-Bissau
Guyana,Guyanese,Guyanese,3374941,Guiana
Haiti,Haitian,Haitians,3504558,Hispaniola
Heard Island and McDonald Islands,"Heard Island, McDonald Island","Heard Islanders, McDonald Islanders",1547314,Territory of Heard Island and McDonald Islands
Honduras,Honduran,Hondurans,3527075,Honduras
Hong Kong,"Hong Kong, Cantonese, Hong Konger","Hongkongers, Hong Kongese",1819730,Hong Kong Special Administrative Region
Hungary,"Hungarian, Magyar","Hungarians, Magyars",719819,Hungary
Iceland,Icelandic,Icelanders,2629691,Republic of Iceland
India,Indian,Indians,6269134,Indian Subcontinent
Indonesia,Indonesian,Indonesians,1643084,Republic of Indonesia
Iran,"Iranian, Persian","Iranians, Persians",130758,Islamic Republic of Iran
Iraq,Iraqi,Iraqis,99237,Republic of Iraq
Ireland,Irish,"Irish, Irishmen, Irishwomen",2646052,Ireland
Isle of Man,Manx,Manx,3042225,Isle of Man
Israel,"Israeli, Israelite",Israelis,294640,State of Israel
Italy,Italian,Italians,3175395,Italian Republic
Ivory Coast,Ivorian,Ivorians,2287781,Republic of Côte d’Ivoire
Jamaica,Jamaican,Jamaicans,3489941,Jamaica
Jan Mayen,Jan Mayen,Jan Mayen residents,3041964,Jan Mayen
Japan,Japanese,Japanese,1861060,Japan
Jersey,Jersey,"Jerseyman, Jerseywoman, Jersian, Jèrriais",3042143,Jersey
Jordan,Jordanian,Jordanians,1710117,Jordan
Kazakhstan,"Kazakhstani, Kazakh","Kazakhstanis, Kazakhs",1522867,Republic of Kazakhstan
Kenya,Kenyan,Kenyans,192950,Republic of Kenya
Kiribati,Kiribati,I-Kiribati,4030945,Republic of Kiribati
North Korea,North Korean,"Koreans, North Koreans",1873107,Democratic People’s Republic of Korea
South Korea,South Korean,"Koreans, South Koreans",1835841,Republic of Korea
Kosovo,"Kosovar, Kosovan",Kosovars,831053,Republic of Kosovo
Kuwait,Kuwaiti,Kuwaitis,285570,State of Kuwait
Kyrgyzstan,"Kyrgyzstani, Kyrgyz, Kirgiz, Kirghiz","Kyrgyzstanis, Kyrgyz, Kirgiz, Kirghiz",1527747,Kyrgyz Republic
Laos,"Lao, Laotian","Laos, Laotians",1655842,Lao People’s Democratic Republic
Latvia,"Latvian, Lettish","Latvians, Letts",458258,Republic of Latvia
Lebanon,Lebanese,Lebanese,272103,Lebanon
Lesotho,Basotho,"Basotho, Mosotho",932692,Kingdom of Lesotho
Liberia,Liberian,Liberians,2275384,Republic of Liberia
Libya,Libyan,Libyans,2215636,Libya
Liechtenstein,Liechtensteiner,Liechtensteiners,3042058,Principality of Liechtenstein
Lithuania,Lithuanian,Lithuanians,597427,Republic of Lithuania
Luxembourg,"Luxembourg, Luxembourgish",Luxembourgers,2960313,Grand Duchy of Luxembourg
Macau,Macanese,"Macanese, Chinese",1821275,Macau Special Administrative Region
Madagascar,Malagasy,Malagasy,1062947,Republic of Madagascar
Malawi,Malawian,Malawians,927384,Republic of Malawi
Malaysia,Malaysian,Malaysians,1733045,Malaysia
Maldives,Maldivian,Maldivians,1282028,Republic of Maldives
Mali,"Malian, Malinese",Malians,2417886,Mali
Malta,Maltese,Maltese,2562772,Malta
Marshall Islands,Marshallese,Marshallese,2080185,Republic of the Marshall Islands
Martinique,"Martiniquais, Martinican","Martiniquais, Martiniquaises",3570311,Martinique
Mauritania,Mauritanian,Mauritanians,2378080,Islamic Republic of Mauritania
Mauritius,Mauritian,Mauritians,934292,Republic of Mauritius
Mayotte,Mahoran,Mahorans,1024031,Mayotte
Mexico,Mexican,Mexicans,3996063,Mexico
Micronesia,Micronesian,Micronesians,7729900,Micronesia
Moldova,Moldovan,Moldovans,617790,Republic of Moldova
Monaco,"Monégasque, Monacan","Monégasques, Monacans",3220838,Landkreis München
Mongolia,Mongolian,"Mongolians, Mongols",2029969,Mongolia
Montenegro,Montenegrin,Montenegrins,3194884,Montenegro
Montserrat,Montserratian,Montserratians,3578097,Montserrat
Morocco,Moroccan,Moroccans,2542007,Kingdom of Morocco
Mozambique,Mozambican,Mozambicans,1036973,Republic of Mozambique
Myanmar,"Myanma, Burmese",Myanmars,1327865,Union of Burma
Namibia,Namibian,Namibians,3355338,Republic of Namibia
Nauru,Nauruan,Nauruans,2110425,Nauru
Nepal,"Nepali, Nepalese","Nepalis, Nepalese",1282988,Federal Democratic Republic of Nepal
Netherlands,"Dutch, Netherlandic","Dutch, Dutchmen, Dutchwomen, Netherlanders",2750405,Kingdom of the Netherlands
New Caledonia,New Caledonian,New Caledonians,2139685,New Caledonia
New Zealand,New Zealand,New Zealanders,2186224,New Zealand
Nicaragua,Nicaraguan,Nicaraguans,3617476,Republic of Nicaragua
Niger,Nigerien,Nigeriens,2440476,Republic of Niger
Nigeria,Nigerian,Nigerians,2328926,Federal Republic of Nigeria
Niue,Niuean,Niueans,4036232,Niue
Norfolk Island,Norfolk Island,Norfolk Islanders,2155115,Territory of Norfolk Island
North Macedonia,Macedonian,Macedonians,718075,North Macedonia
Northern Ireland,Northern Irish,"Northern Irish, Northern Irishmen, Northern Irishwomen",2641364,Northern Ireland
Northern Mariana Islands,Northern Marianan,Northern Marianans,4041468,Commonwealth of the Northern Mariana Islands
Norway,Norwegian,Norwegians,3144096,Kingdom of Norway
Oman,Omani,Omanis,286963,Sultanate of Oman
Pakistan,Pakistani,Pakistanis,1168579,Islamic Republic of Pakistan
Palau,Palauan,Palauans,1559582,Republic of Palau
Palestine,Palestinian,Palestinians,6254930,Palestine
Panama,Panamanian,Panamanians,3703430,Republic of Panama
Papua New Guinea,"Papua New Guinean, Papuan","Papua New Guineans, Papuans",2088628,Independent State of Papua New Guinea
Paraguay,Paraguayan,Paraguayans,3437598,Republic of Paraguay
Peru,Peruvian,Peruvians,4924733,Peru
Philippines,"Filipino, Philippine","Filipinos, Filipinas",1694008,Republic of the Philippines
Pitcairn Islands,Pitcairn Island,Pitcairn Islanders,4030699,"Pitcairn, Henderson, Ducie and Oeno Islands"
Poland,Polish,Poles,798544,Republic of Poland
Portugal,Portuguese,Portuguese,2264397,Portuguese Republic
Puerto Rico,Puerto Rican,Puerto Ricans,3429732,Puerto Rico
Qatar,Qatari,Qataris,289688,State of Qatar
Réunion,"Réunionese, Réunionnais","Réunionese, Réunionnais, Réunionnaises",935316,Reunion
Romania,Romanian,Romanians,798549,România
